row_type,level,track,seq,name,evidence
level,1,,,发现新现象/新问题/新需求并提出报告,
item,1,hw,1,在学术刊物、会议论文、研究报告、专利申请等资料中公布了可作为项目研究基础的基本原理,论文、报告或专利等
item,1,hw,2,明确了基本原理的假设条件、应用范围,项目任务书
item,1,sw,3,正确识别该技术的关键问题和技术挑战,项目任务书
item,1,sw,4,在学术刊物、会议论文、研究报告、专利申请等资料中公布了可作为项目研究基础的基本算法,论文、报告或专利等
item,1,sw,5,明确了基本算法的条件、应用范围，确定了整体工作的可行性,可行性报告
level,2,,,提出了满足需求或解决问题的技术方案,
item,2,hw,1,有明确的目标和指标要求、初步实施方案；明确研究技术的基本要素及构成特性,技术分析文档、实施方案、项目任务书
item,2,hw,2,初步明确技术可实现的主要功能,项目任务书
item,2,hw,3,明确产品预期应用环境,项目任务书、环境分析文档
item,2,sw,4,完成系统的需求分析，获得潜在的需求,软件需求分析文档
item,2,sw,5,确定拟采用的技术路线,软件设计文档
item,2,sw,6,完成技术路线相关的技术准备,软件技术准备报告
item,2,sw,7,形成系统的概要设计,概要设计说明书
level,3,,,核心技术概念模型仿真验证成功,
item,3,hw,1,形成完善的实施方案,实施方案
item,3,hw,2,通过试验或仿真分析手段验证了关键功能的可行性,试验或仿真报告
item,3,hw,3,理论分析了系统集成方案的可行性,系统集成可行性分析文档
item,3,hw,4,形成完善的项目开发计划,项目开发计划
item,3,hw,5,评估产品预期需要的制造条件和现有的制造能力,报告
item,3,sw,6,确定需求边界,需求规格说明书
item,3,sw,7,完成关键技术的验证,关键技术验证报告
item,3,sw,8,完成详细设计,详细设计文档
level,4,,,实验室内关键功能指标测试达到预期目标,
item,4,hw,1,完成基础关键功能试样/模块/部件的开发，形成论文、著作、知识产权、研究报告并被引用或采纳,开发文档、知识产权或研究报告
item,4,hw,2,在实验室环境下通过各基础关键功能试样/模块/部件的功能、性能试验或仿真验证,测试或仿真报告
item,4,hw,3,试制了关键功能试样/模块/部件,实物、文档
item,4,hw,4,对各关键功能试样/模块/部件进行系统集成,报告
item,4,hw,5,评估关键制造工艺,报告
item,4,hw,6,关键功能试样/模块/部件设计过程文档清晰,设计过程文档
item,4,sw,7,完成研发实施方案及进度计划,研发实施方案文档
item,4,sw,8,完成主框架的研发及原型系统的思想,主框架代码与原型设计文档
item,4,sw,9,基于原型系统开展相应的验证分析,原型验证分析报告
level,5,,,"实验室小试(模拟生产)环境中的初样样品完成,主要功能与性能指标测试通过",
item,5,hw,1,完成各功能部件开发，形成产品初样,产品初样
item,5,hw,2,在模拟使用环境条件下完成产品初样的功能、性能试验或仿真验证,测试或仿真报告
item,5,hw,3,功能部件设计过程文档清晰,设计过程文档
item,5,hw,4,确定部件生产所需机械设备、测试工装夹具、人员技能等,文档
item,5,hw,5,确定部件关键制造工艺和部件集成所需的装配条件,文档
item,5,sw,6,改善原型系统，完成测试版本研发,测试版本安装包与受控证明
item,5,sw,7,完成测试设计,测试方案与测试用例设计文档
item,5,sw,8,开展功能、性能和安全性等测试,专项测试记录
item,5,sw,9,对测试结果进行分析，形成测试分析报告,系统测试分析报告
item,5,sw,10,规范管理研发过程中的代码、文档等,配置管理与代码审计文档
level,6,,,"实验室中试(准生产)环境中的正样样品完成,全部功能和性能指标测试通过、工艺验证可行",
item,6,hw,1,形成产品正样，产品/样机技术状态接近最终状态,产品样机
item,6,hw,2,在高逼真度的模拟使用环境下通过系统产品/样机的功能、性能试验或仿真验证,测试或仿真报告
item,6,hw,3,设计工程试验验证及应用方案,试验大纲
item,6,hw,4,系统设计过程文档清晰，完成需求检验,设计过程文档、需求检验文档
item,6,hw,5,确定系统产品/样机的生产工艺及装配流程,工艺、装配文档
item,6,hw,6,确定生产成本及投资需求,文档
item,6,sw,7,完成正式版本软件研发,正式版软件介质及说明书
item,6,sw,8,通过全功能测试和质量验证，反馈的问题已经修改和完善,回归测试与缺陷关闭报告
item,6,sw,9,通过软件产品验收评审会，达到设计目标，可以交付外部用户试用,验收评审决议及试用审批
item,6,sw,10,整理各阶段问题，形成开发总结报告,软件开发总结报告
level,7,,,工程样机系统运行、例行环境试验合格,
item,7,hw,1,完成系统产品/样机的工程化开发，形成专利等知识产权,产品样机、报告
item,7,hw,2,在实际使用环境下完成系统产品/样机的功能、性能试验验证,检验报告
item,7,hw,3,系统产品/样机开展应用测试 (外部用户现场应用证明),用户应用证明报告
item,7,hw,4,产品/样机生产装配流程、制造工艺和检测方法等通过验证,报告
item,7,hw,5,建立初步的产品/样机质量控制体系或标准,文件/证书
item,7,hw,6,验证目标成本设计,报告
item,7,sw,7,软件交付典型用户在受控规模内试用,用户试用部署协议及报告
item,7,sw,8,软件运行环境与实际环境一致，运行正常,真实环境运行日志与监测报告
item,7,sw,9,软件的使用体验获得典型用户认同,典型用户体验认同证明盖章件
level,8,,,"完成小批量试生产并形成实际产品,产品、系统定型,工艺成熟稳定,生产与服务条件完备,能够实际使用",
item,8,hw,1,实际产品开发全部完成，技术状态固化,产品样机、定型报告
item,8,hw,2,产品各项功能、性能指标在实际环境条件下通过测试,第三方型式试验报告
item,8,hw,3,完成产品使用维护说明书；形成技术、管理规范并被使用,说明书及管理规范文档
