level,name,desc
1,提出基本制造设想,识别与基本科学发现相关的潜在制造概念与材料技术，处于概念萌芽阶段。
2,确定制造概念与可行性,明确工艺技术路线，识别制造风险区域，完成基础工艺方案论证。
3,验证关键制造工艺可行性,在实验室或试验台中完成新材料成形、关键加工工艺的面包板/原理试验验证。
4,实验室制造关键部件与试验件,试制出关键零部件功能样件，评估主要机加、铸造、装配工艺及专用工装设备需求。
5,模拟生产环境中试制产品初样,部件级初样试制完成，确定生产设备、工装夹具与人员技能要求，形成初步工艺规程。
6,准生产环境下试制出产品正样,系统级正样试制完成，生产装配流程初步打通，测算量产投资需求与目标成本。
7,建立生产线并试制工程样机,具备试生产线，在生产车间完成装配工艺、检测手段验证，质量控制体系初步建立。
8,小批量试生产验证成熟稳定,通过小批量试生产考核，关键原材料供应链稳定，制造设备工装固化，质量达到4西格玛。
9,具备批量化生产与交付能力,全速率规模量产能力就绪，过程质量受控达到6西格玛，成本符合定费用设计目标。
10,精益量产与全寿命周期改进,供应链高度可靠，持续推行精益生产削减返修率与制造成本，成熟度处于行业领先水平。
